Singer,Title,Lyrics
볼빨간사춘기,나비와 고양이 (Feat. 백현 (BAEKHYUN)),"나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

몰래몰래 그대를 보아요
사랑스런 날개 그댄 어디서 온 건가요
말하지 못한 채 나 손을 뻗어요
보랏빛 날개 그대는 달아요

내 맘이 그런 것처럼
그대 맘이 그런 것처럼 yeah

나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요
 
가만히 난 몰래몰래 그대를 보아요
사랑스런 날개 그댄 어디서 온 건가요
말하지 못한 채 나 손을 뻗어요
보랏빛 날개 그대는 달아요

내 맘이 그런 것처럼
그대 맘이 그런 것처럼 yeah

나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

설렘이 가득하죠
이 날씨도 그 기분까지도
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

내 어깨에 기대어
잠시 눈을 감아요"
볼빨간사춘기,품,"기분 좋은 날은 늘 그렇게 딱 맞아들어
하고 싶은 것도 먹고 싶은 것도 애매한 게 없지
널 만나러 가는 길도 온종일 설레서 난
보고 싶은 것도 느끼고 싶은 것도 애매한 게 없지

음음 난 좋아 너의 모든 게 말이야
아니 아니 나 좋아 그래 거기서 볼게 yeah

네가 온다 걸어온다

기분 좋은 바람이 후~ 하고 불어오면
내 마음도 후~ 네가 보고 싶어
네게로 달려갈래 
포근하고 좋은 너의 그 품으로 

너와 다툰 뒤엔 늘 이렇게 편지를 적어
사랑한단 말도 보고 싶단 말도 모두 담아 넣지
널 만나러 가는 길에 몇 번씩 곱씹어 나
하고 싶은 말도 널 생각하는 맘도 전부 다 전할게

음음 난 좋아 너의 모든 게 말이야
아니 아니 나 좋아 그래 너에게 갈게 yeah

기분 좋은 바람이 후~ 하고 불어오면
내 마음도 후~ 네가 보고 싶어
네게로 달려갈래 
포근하고 좋은 너의 그 품으로 

널 꼭 안고 있으면 
따뜻하고 참 좋은 것 같아
눈부신 햇살 사이로 
스르르 나 잠들 것 같아

기분 좋은 바람이
내 뺨을 스치고
널 보는 내 맘이
네 맘을 닮아 빛나죠

널 향한 내 맘이 후~ 하고 불어오면
네 마음도 후~ 내게 가까워져
두 팔을 벌려 갈게
포근하고 좋은 너의 그 품으로"
블루(BLOO),Downtown Baby,"너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
628 너 집 번호
네 집 앞이니까 나와 Let’s Roll
시간 아까우니 잡아 나의 두 손
I don’t wanna let go
핑크머리색에 피어싱은 세 개
너는 좋아했지 나의 팔베개
우린 서로 아파하는 짓도 나빠
하나밖에 없는 Downtown Baby
너는 나의 다운타운 베이비야
너는 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
영화 보고 Let’s drink all night long
담배 한 대 피며 Talk all night long
힘든 일이 있을 땐 내게 와 일로
너의 얇은 팔로 감싸 나를 사이로
지금 아프더라도 It’s alright
시간은 다 지나가 It’s alright
항상 그랬지 넌 손발 차가워
그래서 내게 말했지 빨리 안아줘
I’ll make you Rich 조금만
기다려 네가 없는 날에는 Raining
I’ll do anything 조금만
기다려 맑았던 하늘도 다시 보니 Gray
술도 한잔 못 했던 네가 날 만나
와인을 사와
술도 한잔 못 했던 네가 날 만나
마음이 아파
너는 나의 다운타운 베이비야
너는 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymoe
It’s okay baby
항상 같은 자리에서 있을게
It’s okay baby
널 위해 내 핸드폰을 켜 놓을게"
비,깡,"Yeah 다시 돌아왔지
내 이름 레인(RAIN)
스웩을 뽐내 WHOO!
They call it! 왕의 귀환
후배들 바빠지는 중!
신발끈 꽉 매고
스케줄 All Day
내 매니저 전화기는
조용할 일이 없네 WHOO!

15년을 뛰어
모두가 인정해 내 몸의 가치
허나, 자만하지 않지
매 순간 열심히 첫 무대와 같이 
타고난 이 멋이 어디가
30 sexy 오빠
또 한번 무대를 적셔
레인이펙트
나 비 효과

화려한 조명이 나를 감싸네
시간이 멈추길 기도해
but, I’m not gonna cry yeah
불 꺼진 무대 위 홀로 남아서
떠나간 그대의 목소릴 떠올리네
나 쓰러질 때까지 널 위해 춤을 줘

허세와는 거리가 멀어
난 꽤 많은 걸 가졌지
수많은 영화제 관계자
날 못 잡아 안달이 나셨지
귀찮아 죽겠네 알다시피
이 몸이 꽤 많이 바빠
섭외 받아 전세계 왔다 갔다
팬들이 하늘을 날아 WHOO!

TV 드라마, 영화 yeah!
I get it all
이젠 모두를 붙잡을 노래를 불러
볼륨은 올리고
재 등장과 동시
완전 물 만나 call me 나쁜 오빠
무대를 다시 한번 적시지
레인이펙트
나 비 효과

화려한 조명이 나를 감싸네
시간이 멈추길 기도해
but, I’m not gonna cry yeah
불 꺼진 무대 위 홀로 남아서
떠나간 그대의 목소릴 떠올리네
나 쓰러질 때까지 널 위해 춤을 줘"
선미,24시간이 모자라,"24시간이 모자라 너와 함께 있으면 너와 눈을 맞추면
24시간이 모자라 내가 너를 만지고 니가 나를 만지면
24시간 우우우 24시간
24시간 우우우 24시간

시간이 너무나 빨리 가 너와의 하루가 일분 같아 난 미칠 것 같아 
아쉬워 아쉬워
너에게 갈 때는 달려가 떠나야 할 때는 발이 안가 떨어지질 않아
아쉬워 아쉬워

널 보고 있으면 모든 걸 다 잊어버려 니가 나를 가득 채워
널 안고 있으면 모든 게 완벽해 이대로 영원히 있고 싶어

24시간이 모자라 너와 함께 있으면 너와 눈을 맞추면
24시간이 모자라 내가 너를 만지고 니가 나를 만지면
24시간 우우우 24시간
24시간 우우우 24시간


손길이 닿으면 전기가 온몸에 퍼져서 눈을 감아 나 어쩌면 좋아
미쳐가 미쳐가
마실수록 목이 더 말라 맛 볼수록 몸이 더욱 찾아 나 빠져 들어가 
미쳐가 미쳐가

널 보고 있으면 모든 걸 다 잊어버려 니가 나를 가득 채워
널 안고 있으면 모든 게 완벽해 이대로 영원히 있고 싶어

처음 느껴본 감정이라서 끝없이 빠져 드는 게 무서워
하지만 그게 너라면 니가 나를 잡아주면 두렵지 않아 난 계속 가고 싶어
24시간 24시간 24시간 24시간

24시간이 모자라 너와 함께 있으면 너와 눈을 맞추면
24시간이 모자라 내가 너를 만지고 니가 나를 만지면
24시간 우우우 24시간
24시간 우우우 24시간"
선미,가시나,"너의 싸늘해진 그 눈빛이
나를 죽이는 거야 
커지던 니 맘의 불씨
재만 남은 거야 왜
시간이 약인가봐 
어째 갈수록 나 약하잖아
슬픈 아픔도 
함께 무뎌지는 거야

좋아 이젠 너를 잊을 수 있게 
꽃같이 살래 나답게
Can't nobody stop me now 
no try me 

나의 향길 원해 모두가 
바보처럼 왜 너만 몰라
정말 미친 거 아냐 넌

왜 예쁜 날 두고 가시나

날 두고 떠나가시나
그리 쉽게 떠나가시나
같이 가자고 
약속해놓고 
가시나 가시나 

날카로운 날 보고 넌
고개 숙일 거야 
가시 난 내 모습이
더 깊숙이 파고들 거야 eh
이미 꺾은 거잖아 
굳이 미안해하지 마
정말 꺾인 건 지금 내가
아냐 바로 너야
좋아 이젠 너를 잊을 수 있게
꽃같이 살래 나답게
Can't nobody stop me now 
no try me 

나의 향길 원해 모두가 
바보처럼 왜 너만 몰라
정말 미친 거 아냐 넌

왜 예쁜 날 두고 가시나

날 두고 떠나가시나
그리 쉽게 떠나가시나
같이 가자고
약속 해놓고
가시나 가시나 

너는 졌고 나는 폈어
And it's over 
다시 돌아온다 해도 
지금 당장은 나 없이 
매일 잘 살 수 있을 것 같지
암만 생각해봐도 미친 거 아냐 넌

왜 예쁜 날 두고 가시나

날 두고 떠나가시나
그리 쉽게 떠나가시나
같이 가자고 
약속해놓고 
가시나 가시나"
선미,날라리 (LALALAY),"말해 뭐해 그랬니 어쨌니
또 입방아에 들썩
온종일 난리 법석
애써 아니라고 말하기도 애석
너만 빼고 다 아는데
너 그거 몰라 맞아 난 말이야

분위기가 좋아 그렇다면 Okay
가루가 되도록 터는 것도 Okay
뭐라고 뭘 하고 다녀도
You know I'm okay
알잖아요 난 Naughty but
아니에요 날라리
맞으면 뭐 어쩔 건데

날라라라라라라라라라라리
날라라라라라라라라라라리

나 몰라라 너 몰라라
다 몰려와 어디에 또
재밌는 거 없나
벌떼처럼 Wing Wing
그럴수록 Win Win
난 날이 선 칼날 위에
피리 부는 조그마한 Captain
You ready
Get ready
난 여기서만
날라리 Now

분위기가 좋아 그렇다면 Okay
가루가 되도록 터는 것도 Okay
뭐라고 뭘 하고 다녀도
You know I'm okay
알잖아요 난 Naughty but
아니에요 날라리
맞으면 뭐 어쩔 건데

날라라라라라라라라라라리
날라라라라라라라라라라리

Ladies and gentlemen
Welcome aboard
I'll take u high high high higher
Don't need to buckle up
If we got caught
Then we can Just 날라 리!

날라라라라라라라라라라리
날라라라라라라라라라라리

날라라라라라라라라라라리
날라라라라라라라라라라리"
선미,사이렌 (Siren),"내가 말했잖아 속지 말라고
이 손을 잡는 순간 너는 위험해질 거라고
Now you’re bleeding 근데도 끌리니
뻔히 다 알면서도 왜 그리 빤히 쳐다보니

놔 그냥
조금도 망설이지 말고
놔 그냥
너를 아프게 할 거란 걸
알잖아
네 환상에 아름다운 나는 없어
(Can’t you see that boy?)

Get away out of my face
더 다가오지 마 boy
(슬퍼해도 난 울지 않아)
Get away out of my face
더 바라보지 마 boy
(슬퍼해도 난 울지 않아)
라랄라라라 라랄라라라
라랄라라라 라랄라라라

차가운 나를 보는 너의 눈빛
우릴 비추던 달빛 이제는 저물어 간다고
보이지 않니 날 놓지 못하는 손
조금씩 붉어져가잖아

놔 그냥
조금도 망설이지 말고
놔 그냥
너를 아프게 할 거란 걸
알잖아
네 환상에 아름다운
나는 없어
(Can’t you see that boy?)

Get away out of my face
더 다가오지 마 boy
(슬퍼해도 난 울지 않아)
Get away out of my face
더 바라보지 마 boy
(슬퍼해도 난 울지 않아)
라랄라라라 라랄라라라
라랄라라라 라랄라라라

Can’t you see that boy?
What?
Can’t you see that boy?
I ain’t cry no more

Get away out of my face
더 다가오지 마 boy
(슬퍼해도 난 울지 않아)
Get away out of my face
더 바라보지 마 boy
(슬퍼해도 난 울지 않아)
라랄라라라 라랄라라라
라랄라라라 라랄라라라"
선미,주인공,"내 몸이 확
머리가 휙
돌아가 어때
지금 기분이
우리는 마치
자석같아
서로를 안고
또 밀쳐내니까
너는 날 미치게 하고
정신 못 차리게 해
그래 알겠지 넌 참
날 기가 막히게 해
너는 날 춤추게 하고
술 없이 취하게 해
그래 알겠지 넌 참
착한 날 독하게 해
우리 둘만의
이 영화에
진짜 주인공은 너였어 baby
그래 넌 오늘도 너답게
화려한 주인공처럼
그저 하던 대로 해
그게 악역이라도
나를 슬프게 해도
넌 너여야만 해
내가 아플지라도
슬픈 엔딩이라도
the show must go on
the show must go on
너는 늘 끝장을 보고
모든 걸 덮으려 해
왜 날개를 달아주고
추락하자 해
너는 늘 착하지라며
날 눈물 삼키게 하잖아
그래 알겠지 알겠지
넌 날 혹하게 해
우리 둘만의
이 드라마에
진짜 주인공은 너였어 baby
그래 넌 오늘도 너답게
화려한 주인공처럼
그저 하던 대로 해
그게 악역이라도
나를 슬프게 해도
넌 너여야만 해
내가 아플지라도
슬픈 엔딩이라도
the show must go on
the show must go on
그저 하던 대로 해
그게 악역이라도
나를 슬프게 해도
넌 너여야만 해
내가 아플지라도
슬픈 엔딩이라도
the show must go on
the show must go on
you must go on"
선미,Black Pearl,"웬만한 건
이제 다 견뎌
아파도 제법
참을 만해 (참을 만해)

나를 지키려
참아온 건데
네 눈엔 그게
그리도 착하고
반짝거렸나 봐

더럽고 아픈 걸
감싸고 감싸내 난
추한 까만 빛이
못 새어 나오게 난
새하얗게 피어난
갓 태어난 보석 같아
근데 넌 이 안에
뭐가 든지도 모르고

그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
뭐가 그리 좋은지
그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
이리 얼룩져버린 게

왜 넌 내 속을
들춰보려 해
왜 억지로 날
들쑤셔
그런다고 이게 열릴까
앙 다문 맘이
그리도 힘없이 부서질 것 같아

더럽고 아픈 걸
감싸고 감싸내 난
추한 까만 빛이
못 새어 나오게 난
새하얗게 피어난
갓 태어난 보석 같아
근데 넌 이 안에
뭐가 든지도 모르고

그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
뭐가 그리 좋은지
그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
이리 얼룩져버린 게

날 가만히 놔뒀으면 좋겠어
조금 모나도 이게 나인 것 같아
이미 너도 봤잖아
놔 봐

그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
뭐가 그리 좋은지
그저 예뻐라 예뻐라
그저 곱구나 곱구나
그저 빛이나 빛이나
이리 얼룩져버린 게"
세븐틴,고맙다,"난 그랬던 것 같아 네가 어디 있던지
들릴 때라면 고민도 없이
뛰어 갔었던
그때 그때
어렸던 내 맘은
짓궂은 장난이 다였나 봐
웃는 너를 보는 내 기분이 뭔지
배운 적 없어서
표현을 못 했어 내 맘이 서툴러서
너의 내일이 되고 싶어서
오늘을 살아왔어
너를 처음 본 날 그때부터 지금까지
내 맘속에는 너만 있어
뻔하디뻔한 이 말을 내가
이제서야 꺼내 보지만
뻔하디뻔한 이 말이 전해는 질까요
Yeh
고맙다 고맙다 또 고맙다 뿐이지만
기다림까지 그리움까지
우리 추억까지
고맙다 Yeh
고맙다 Yeh
너무 흔한 말이라 내 마음이 담길까
걱정돼서 하지 못했던 말
고맙다는 말보다 예쁜 말을 찾다가
고맙다고 하지 못했던 나
표현을 못 했어
용기가 부족해서
사랑이란 말을
조금이라도 일찍 알았다면
너를 처음 본 날 그때부터 지금까지
내 맘속에는 너만 있어
뻔하디뻔한 이 말을 내가
이제서야 꺼내 보지만
뻔하디뻔한 이 말이 전해는 질까요
Yeh
고맙다 고맙다 또 고맙다 뿐이지만
기다림까지 사랑이 뭔지
알려준 너에게
고맙다 Yeh
고맙다 Yeh
내 맘 변하지 않아 절대 변하지 않아
네가 나를 지운다 해도
우린 변하지 않아
서로에 맘에 새겨져 있으니까
새겨져 있으니까
고맙다 Yeh
고맙다 Yeh
너에게 너에게 전해졌음 해
이 노래가
고맙다
고맙다"
세븐틴,만세,"Yeh Alright Say the Name Seventeen Yep
내 맘 때리는 제스쳐
만세 삼창하지 백 번 but
깨고 나선 매번 say I’m So stupid
꿈 속에선 매일 매일
Ah ha
네가 내 왼팔에 팔짱 끼지
꿈만 깨면 왜이래
Ah ha
마치 영희 없는 철수 같이
어떡해
아 머리 속에 가득
할말이 많은데
누가 대신 말 좀 해줘
Vernon Let’s Go
Uh 그녀를 노렸어 내가
한번 찍었으면
Yeah I gotta slam dunk
너만 여주가 돼줌 이건 명 작품
SCoups Let’s Go
알쏭달쏭 눈빛에 쩔쩔매
말 한마디 건네기가
왜 힘이 듭니까
아버지도 어머님께
이랬습니까 Woo
무뚝뚝한 내가 이젠
평소 에도 널 걱정해
길을 걸을 때 Baby
위험하니까 꼭 안쪽으로 걸어
잠깐 소녀야 절대 넌
다른 사람에게 녹지마
내가 질투 나잖아
잠깐 소녀야 지금부터
널 내꺼라고 부를 거야
소심해도 세심한걸 이제부터
나를 봐줘 My Lady
만세 만세 만세 YEH
만세 만세 만세 YEH
만세 만세 만세 YEH
네가 나를 볼 때면
워
만세 만세 만세 YEH
만세 만세 만세 YEH
만세 만세 만세 YEH
매일 너를 꿈 꾸지
워
너라는 꽃이 피었습니다
너라는 꽃을 바라보니까
들었다 놨다 하지 맙시다
애가 타니까
애가 타니까
너는 이 넓디 넓은 잔디밭의
제대로 된 홍일점
내 눈에는 너뿐이야
누가 이의 있습니까
무뚝뚝한 내가 이젠
평소 에도 널 걱정해
길을 걸을 때 Baby
위험하니까 꼭 안쪽으로 걸어
잠깐 소녀야 절대 넌
다른 사람에게 녹지마
내가 질투 나잖아
잠깐 소녀야 지금부터
널 내꺼라고 부를 거야
소심해도 세심한걸 이제부터
나를 봐줘 My Lady
안자고 뭐해 너네 집 앞이야
잠깐 나올래
아무리 바빠도 너를 챙겨
어디를 가도 너를 지킬 거야
콩깍지 씐 김에 니 부드런 손에
깍지도 살며시 껴볼래 Girl
Bad Bad Bad Bad Girl
더 이상은 밀지마
잠깐 소녀야 절대 넌
다른 사람에게 녹지마
내가 질투 나잖아
잠깐 소녀야 지금부터
널 내꺼라고 부를 거야
소심해도 세심한걸 이제부터
나를 봐줘 My Lady
만세 만세 만세 YEH
만세 만세 만세 YEH
만세 만세 만세 YEH
네가 나를 볼 때면
워
만세 만세 만세 YEH
만세 만세 만세 YEH
만세 만세 만세 YEH
매일 너를 꿈 꾸지
워"
세븐틴,박수,"박수 SEVENTEEN Right here
괜찮아 괜찮아 이런 일들 많잖아
꼬일 대로 꼬인 일들
주머니 Earphone인줄
흰 티에 뭐 묻을 때 그 담에
교통카드 잔고가 없을 때 이럴 때
Yeh 꼭 이런 날에만
집 가기 전에 비 맞지
왜 나한테만 이러나 싶고
눈 깜빡하면 주말은 가고
이거 왠지 나다 싶으면
이리이리이리 모여 다
얘들아 지금부터
손에 불 날 때까지 박수 짝짝짝짝
이때다 싶으면 쳐 박수 짝짝짝짝
저기 저기 이리 오지
우리끼리 신이 나지
이 노래 끝까지 쳐 박수 짝짝짝짝
Woo 짝짝짝짝
Woo 짝짝짝짝
어차피 해도 해도 안돼
쟤도 걔도 얘도
안 되면은 아무 말도
되지 않는 주문이라도
김수한무 거북이와 두루미
삼천갑자 동방삭 야야야야
그럴 때가 있잖아
내가 작아지는 기분 말야
하라는 대로 했는데 난
눈치만 보고 있잖아
왜 나한테만 이러나 싶고
고민의 꼬린 꼬리를 물고
이거 왠지 나다 싶으면
이리이리이리 모여 다
얘들아 지금부터
손에 불 날 때까지 박수 짝짝짝짝
이때다 싶으면 쳐 박수 짝짝짝짝
저기 저기 이리 오지
우리끼리 신이 나지
이 노래 끝까지 쳐 박수 짝짝짝짝
Woo 짝짝짝짝
Woo 짝짝짝짝
Woo 짝짝짝짝
오늘만큼은 용기를 내서
이불 덮고 소리질러
다시 한번 더
손에 불을 꺼보자 박수 짝짝짝짝
이 노래 끝나간다 박수 짝짝짝짝
저기 저기 이리 오지
우리끼리 신이 나지
다같이 일동 기립 박수 짝짝짝짝
Woo 짝짝짝짝
Woo 짝짝짝짝"
세븐틴,아낀다,"Seventeen Yob
You Know What
요즘 말야 내가 말야 생각이 많아
요즘 말야 너에게 말야
할 말이 많아
요즘 말야
내가 좀 이상해 말수가 적어져
친구들이 다 걱정해
요즘 말야
네 앞에만 서면 심장이 뛰어서
행동이 서툴러서 미안해
아직도 조절이 안 돼
나 갖고 놀지 좀 말래
왜 자꾸 front 하는 건데
모르겠다 모르겠다
어떻게든 되겠지
그니까 내 말은
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야
어쩌다가 눈이 부시는가
이기적인 외모 겸손한 성품을 봐
여기 감히 어디라고 농이 아냐
너의 매력에 대한 사실을 고한다 Oh
날 보고 웃는 게 좋아선지
아니면 그냥 우스워 보이는 건지 ho
Yeh 지금 자릴 찾고 있다면
Yeh 내 옆자리가 좋아 보여
Yeh 너에게 관심 많어
신발 사이즈 까지도 Oh Oh
아 지금 너 땜에 불이 나
나를 식히는 건 무리야
아 지금 너 땜에 불이 나
모르겠다 모르겠다
어떻게든 되겠지
그니까 내 말은
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야
너 여기 기대도 돼
너의 아픔 나로 덮어도 돼
네 속마음 불어
눈치 채긴 역부족
Can't fake it no more
끌어올려 속도
튕기는 건 이 쯤에서 끝내고
이제 나도 한 번 불러 보자
Baby You're My Angel
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야"
세븐틴,아주 NICE,"아침엔 모닝콜 필수던 내가
오늘은 번쩍 번쩍 눈이 떠지는가
데이트 날이라 그런지
어제 꿈도 좋은 꿈 꿨지
새 신발을 신고
현관문을 열고 나가면
오늘 날씬 너를 많이 닮아
너에게 가는 길은 꽃길이 되고
보일 듯 말듯한 네 마음 보인다면
온몸이 간질간질 두근두근
이 기분은 뭐야 어떡해
아주 NICE
아주 NICE
NICE
아주 NICE
뭐 하나 물어볼게
꿈에서도 너가 둥둥
떠 다닐 것 같애 맞아
멋진 남자 되고파
Fitness 끊은 것 같애 맞아
연애가 첨이라
내가 긴장할 것 같애
너가 나의 모든 의문점에 대한
정답인 것 같애
아 궁금한 게 있는데
어떻게 그리 예뻐
신호등만 건너면
맛있는 가게 있어
가자
오늘 날씨 너를 많이 닮아
너에게 가는 길은 꽃길이 되고
보일 듯 말듯한 네 마음 보인다면
온몸이 간질간질 두근두근
이 기분은 뭐야 어떡해 뭐야 어떡해
아주 NICE
아주 NICE
NICE
아주 NICE
어떤 사람은 말하죠
연애는 연애일 뿐이라고
그걸로 끝이라고
그렇다면 시작점이 끝이 될 수 있게
너로 시작해 나로 끝낼 수 있게
맞잡은 두 손에 원처럼
우린 끝이 없네
지금 상황 FOREVER
우리 둘이 FOREVER
첫사랑은 안 이루어 진단 말은
믿지 않기로 해요
익숙함에 속아 잃지 않았으면 해
서로가
우리라는 말이 지켜질 수 있게
진지한데 뜬금없지만
뜬금없지만 오늘 난 말야
아주 NICE
아주 NICE
NICE
아주 NICE
오늘 하루도 아주 즐거웠어요
다음 데이트도 빨리 했음 좋겠어요
집 데려다 주는 길이 너무도 짧아요
내일 이 시간에 또 만나요"
세븐틴,어쩌나,"나의 밤은 Deep Deep
켜져 있는 TV
시끄럽지 내 맘처럼
너는 대체 어떠한 이유로
내 맘을 껐다 켰다 네 멋대론지
그게 싫다는 게 아니고
혹시 네가 너무
피곤할까 봐
걱정돼서 그렇지
내 맘이 그래
나는 너면 Need no other
너는 마치 찌더움이 없는 Summer Yeh
너는 여태 내가 느껴왔던
쓸쓸함의 온점
네 생각에 잠 못 자다가 보면 오전
이런 너를 어쩌나
너를 봐도 네가 더 생각나
너는 내게 유일한 어쩌나
난 어쩌나 어쩌나
그대를 어쩌나
너 때문에 난 이제 어쩌나
빼곡히 매일 Ah 매일 Ah 매일 Ah
매일
네가 좋은 걸 어쩌나
그대는 어떤가
나 때문에 잠들기 힘들까
쉴 틈 없이 설레게 하면
어쩌나 어쩌나
어쩌나 저쩌나
하루가 멀다 하고 네가 좋아져 난
내가 성격이 덜렁대고 좀 물러서
그치만 널 위해서 절대로 안 물러서
같이 부르자 Um 콧노래
하나씩 이어폰을 나눠 끼니
사이가 좋으네
난 내 두뇌 스케치 위에
매일 너를 그려
뭐라는 거야
암튼 나는 네가 그냥 좋아
아까부터 같은 말 계속해서
미안해 그치만 이게 다야
별 어려운 말 다 해봐도
내 진심은 이게 Every Everything
이런 너를 어쩌나
너를 봐도 네가 더 생각나
이 모든 게 꿈이면 난 정말
난 어쩌나 어쩌나
그대를 어쩌나
너 때문에 난 이제 어쩌나
빼곡히 매일 Ah 매일 Ah
매일 Ah 매일
네가 좋은 걸 어쩌나
그대는 어떤가
나 때문에 잠들기 힘들까
쉴 틈 없이 설레게 하면
어쩌나 어쩌나
Yeh yeh yeh yeh yeh
I really like you
Oh oh oh oh
Better tell
Yeh yeh yeh yeh yeh
Better tell somebody
Oh oh oh oh
You’re all mine
밝은 넌 우주 저 끝까지
닿을 만큼 더 빛나는
네가 없음 어쩌나 Woo baby
그대를 어쩌나
너 때문에 난 이제 어쩌나
빼곡히 매일 Ah 매일 Ah
매일 Ah 매일
네가 좋은 걸 어쩌나
그대는 어떤가
내 마음을 알기는 아는가
난 네가 없음 안 되는데
어쩌나 어쩌나
어쩌나 어쩌나"
세븐틴,예쁘다,"할 말이 많은데
정리가 잘 안돼
도와줘 SOS
하나 둘 셋 넷
어떤 표현법을
써야만 내 맘이 전해질까
마음을 꺼내서 너에게 복사해
붙여야 하는 건가
어느 멋진 날에
나에게 짠하고 나타나선
내 맘을 취하고
시선을 빼앗고 넌 욕심쟁이
내가 하고 싶었던 말은
Don't take this the wrong way
But 너 말곤 안 보여
You'r so ice ice baby
At the same time 넌 날 녹여
Just can't get enough
날 너에게 숨김 없이
보여주고 싶어
우린 서로를 선택했고
나노 단위로 집중해
널 볼 때 난 숨이 체할 것 같아
평소엔 안 그러는데
예쁜 말 모두 모아서
따다 주고 싶은데
너 앞에 서면 자꾸 들어가는 말
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
턱 끝까지 차 올랐던 그 말을
내일 꼭 하겠어
너 예쁘다
감기에는 약
배고프면 밥
너 에는 나
처럼 사전에 널 찾으면
나로 정의됐음 좋겠단 말이야
근데 오늘은 대체
어떻게 해야 돼
인터넷에다 물어볼까
어떤 옷 또 어떤 곳
공부를 이렇게나 해볼 걸
우린 서로를 선택했고
나노 단위로 집중해
널 볼 때 난 숨이 체할 것만 같아
평소엔 안 그러는데
예쁜 말 모두 모아서
따다 주고 싶은데
너 앞에 서면 자꾸 들어가는 말
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
턱 끝까지 차 올랐던 그 말을
내일 꼭 하겠어
너 예쁘다
I can't take it no more
할말은 있는데
I can't take it no more
지금 하려고 해
I can't take it no more
편지를 쓰려다가
I can't take it no more
못 참겠어
Baby you're my lady
너의 마음속을
달려가는 중인데
Baby 이제 거의 다 왔어
하
하
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
영화처럼 달콤하고 예쁜 그 말
몇 날 며칠 밤새 연습했던 그 말
내일은 꼭 두 주먹을 꽉 쥐고
말 해주고 싶어
너 예쁘다
Does she love me
Does she love me not
하루 종일 세고 있어 꽃잎만
Does she love me
Does she love me not
꽃잎은 내게 어떤 답을 전해 줄까"
